Type                                  Module                      Label             Process        Full Name                                              Split level
BXVector<l1t::CaloCluster>            "simCaloStage2Digis"        "MP"              "HLT"          l1tCaloClusterBXVector_simCaloStage2Digis_MP_HLT       1
BXVector<l1t::CaloTower>              "simCaloStage2Layer1Digis"   ""                "HLT"          l1tCaloTowerBXVector_simCaloStage2Layer1Digis__HLT     1
BXVector<l1t::CaloTower>              "simCaloStage2Digis"        "MP"              "HLT"          l1tCaloTowerBXVector_simCaloStage2Digis_MP_HLT         1
BXVector<l1t::EGamma>                 "l1tEGammaClusterEmuProducer"   ""                "HLT"          l1tEGammaBXVector_l1tEGammaClusterEmuProducer__HLT     1
BXVector<l1t::EGamma>                 "simCaloStage2Digis"        ""                "HLT"          l1tEGammaBXVector_simCaloStage2Digis__HLT              1
BXVector<l1t::EGamma>                 "l1tLayer2EG"               "L1CtEgEE"        "HLT"          l1tEGammaBXVector_l1tLayer2EG_L1CtEgEE_HLT             1
BXVector<l1t::EGamma>                 "l1tLayer1HF"               "L1Eg"            "HLT"          l1tEGammaBXVector_l1tLayer1HF_L1Eg_HLT                 1
BXVector<l1t::EGamma>                 "l1tLayer1HGCal"            "L1Eg"            "HLT"          l1tEGammaBXVector_l1tLayer1HGCal_L1Eg_HLT              1
BXVector<l1t::EGamma>                 "l1tLayer1HGCalExtended"    "L1Eg"            "HLT"          l1tEGammaBXVector_l1tLayer1HGCalExtended_L1Eg_HLT      1
BXVector<l1t::EGamma>                 "l1tLayer1HGCalNoTK"        "L1Eg"            "HLT"          l1tEGammaBXVector_l1tLayer1HGCalNoTK_L1Eg_HLT          1
BXVector<l1t::EGamma>                 "l1tLayer1EG"               "L1EgEE"          "HLT"          l1tEGammaBXVector_l1tLayer1EG_L1EgEE_HLT               1
BXVector<l1t::EGamma>                 "simCaloStage2Digis"        "MP"              "HLT"          l1tEGammaBXVector_simCaloStage2Digis_MP_HLT            1
BXVector<l1t::EtSum>                  "simCaloStage2Digis"        ""                "HLT"          l1tEtSumBXVector_simCaloStage2Digis__HLT               1
BXVector<l1t::EtSum>                  "simCaloStage2Digis"        "MP"              "HLT"          l1tEtSumBXVector_simCaloStage2Digis_MP_HLT             1
BXVector<l1t::HGCalCluster>           "l1tHGCalBackEndLayer1Producer"   "HGCalBackendLayer1Processor2DClustering"   "HLT"          l1tHGCalClusterBXVector_l1tHGCalBackEndLayer1Producer_HGCalBackendLayer1Processor2DClustering_HLT     1
BXVector<l1t::HGCalCluster>           "l1tHGCalBackEndLayer2Producer"   "HGCalBackendLayer2Processor3DClusteringUnclustered"   "HLT"          l1tHGCalClusterBXVector_l1tHGCalBackEndLayer2Producer_HGCalBackendLayer2Processor3DClusteringUnclustered_HLT     1
BXVector<l1t::HGCalMulticluster>      "l1tHGCalBackEndLayer2Producer"   "HGCalBackendLayer2Processor3DClustering"   "HLT"          l1tHGCalMulticlusterBXVector_l1tHGCalBackEndLayer2Producer_HGCalBackendLayer2Processor3DClustering_HLT     1
BXVector<l1t::HGCalTower>             "l1tHGCalTowerProducer"     "HGCalTowerProcessor"   "HLT"          l1tHGCalTowerBXVector_l1tHGCalTowerProducer_HGCalTowerProcessor_HLT     1
BXVector<l1t::HGCalTowerMap>          "l1tHGCalTowerMapProducer"   "HGCalTowerMapProcessor"   "HLT"          l1tHGCalTowerMapBXVector_l1tHGCalTowerMapProducer_HGCalTowerMapProcessor_HLT     1
BXVector<l1t::HGCalTriggerCell>       "l1tHGCalConcentratorProducer"   "HGCalConcentratorProcessorSelection"   "HLT"          l1tHGCalTriggerCellBXVector_l1tHGCalConcentratorProducer_HGCalConcentratorProcessorSelection_HLT     1
BXVector<l1t::HGCalTriggerCell>       "l1tHGCalVFEProducer"       "HGCalVFEProcessorSums"   "HLT"          l1tHGCalTriggerCellBXVector_l1tHGCalVFEProducer_HGCalVFEProcessorSums_HLT     1
BXVector<l1t::Jet>                    "simCaloStage2Digis"        ""                "HLT"          l1tJetBXVector_simCaloStage2Digis__HLT                 1
BXVector<l1t::Jet>                    "l1tCaloJet"                "L1CaloJetCollectionBXV"   "HLT"          l1tJetBXVector_l1tCaloJet_L1CaloJetCollectionBXV_HLT     1
BXVector<l1t::Jet>                    "simCaloStage2Digis"        "MP"              "HLT"          l1tJetBXVector_simCaloStage2Digis_MP_HLT               1
BXVector<l1t::Muon>                   "simGmtStage2Digis"         ""                "HLT"          l1tMuonBXVector_simGmtStage2Digis__HLT                 1
BXVector<l1t::Muon>                   "simGmtStage2Digis"         "imdMuonsBMTF"    "HLT"          l1tMuonBXVector_simGmtStage2Digis_imdMuonsBMTF_HLT     1
BXVector<l1t::Muon>                   "simGmtStage2Digis"         "imdMuonsEMTFNeg"   "HLT"          l1tMuonBXVector_simGmtStage2Digis_imdMuonsEMTFNeg_HLT     1
BXVector<l1t::Muon>                   "simGmtStage2Digis"         "imdMuonsEMTFPos"   "HLT"          l1tMuonBXVector_simGmtStage2Digis_imdMuonsEMTFPos_HLT     1
